kscore	rxn.code	rxn.name	rxn.genes	rxn.formula
1.00	r_2695	MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2696	MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] 
1.00	r_2697	MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] 
1.00	r_2698	MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] 
1.00	r_2699	MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] 
1.00	r_2700	MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2701	MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2702	MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2703	MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2704	MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] 
1.00	r_2705	MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] 
1.00	r_2706	MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] 
1.00	r_2707	MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] 
1.00	r_2708	MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2709	MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2710	MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2711	MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2712	MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] 
1.00	r_2713	MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] 
1.00	r_2714	MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] 
1.00	r_2715	MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] + cardiolipin (1-18:1, 2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] 
1.00	r_2716	MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2717	MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2718	MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2719	MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2720	MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2721	MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2722	MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2723	MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2724	MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2725	MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2726	MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2727	MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2728	MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] + cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-18:1) [mitochondrial membrane] 
1.00	r_2729	MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] + cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-18:1) [mitochondrial membrane] 
1.00	r_2730	MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] + cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-18:1) [mitochondrial membrane] 
1.00	r_2731	MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:0, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] + cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-18:1) [mitochondrial membrane] 
1.00	r_2732	MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2733	MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2734	MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2735	MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2736	MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2737	MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2738	MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2739	MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2740	MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2741	MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2742	MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2743	MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2744	MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] + cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-18:1) [mitochondrial membrane] 
1.00	r_2745	MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] + cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-18:1) [mitochondrial membrane] 
1.00	r_2746	MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] + cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-18:1) [mitochondrial membrane] 
1.00	r_2747	MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-16:1, 2-16:1, 4-18:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] + cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-18:1) [mitochondrial membrane] 
1.00	r_2748	MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-18:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2749	MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-18:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2750	MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-18:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2751	MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-18:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2752	MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-18:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2753	MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-18:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2754	MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (1-18:0, 2-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
